state,state_abbr,fips_state,poverty_rate,median_household_income,white_pct,black_pct,native_pct,asian_pct,pacific_pct,two_plus_pct,grocery_cost_index,benefits_may_2025,participants_may_2025,trifecta_2024,usda_snap_region,benefits_per_person,minimum_wage,min_wage_tier,RUCC,rural_urban_category,population,participants_per_1000,snap_policy_class
Georgia,GA,13,0.126,79991,0.4983131020658664,0.30604698486111737,0.0050105188519184276,0.04896422266659201,0.0007967173955390623,0.08732185433022344,88.252,252417633.0,1356493.0,Republican,Southeast,186.0810435439033,7.25,low,4,mixed,11180878.0,121.32258307442403,Moderate
Hawaii,HI,15,0.1,100745,0.21945156298188426,0.01762408498173767,0.003485816784750641,0.36260861628079044,0.09535275138194899,0.2837936141993962,128.89,59178123.0,163576.0,Democratic,Western,361.7775407150193,14.0,high,3,urban,1446146.0,113.11167752080357,Moderate
Idaho,ID,16,0.105,81166,0.8089361661734825,0.007767212441528583,0.011259385527415558,0.015073797760712703,0.001546248311991443,0.10656173827286812,86.728,23906189.0,133545.0,Republican,Western,179.01223557602307,7.25,low,6,rural,2001619.0,66.7184913812269,Low
Illinois,IL,17,0.11599999999999999,83211,0.6018962942868216,0.13215421869657323,0.008295254866225895,0.06393343025318804,0.00035034969667568255,0.10675744550146427,92.399,368278250.0,1879564.0,Democratic,Midwest,195.93812714012398,15.0,high,6,mixed,12710158.0,147.87888553391704,High
Indiana,IN,18,0.122,71959,0.7601260781814703,0.09119640684403782,0.00517353802383643,0.027088612165172526,0.000719497709146445,0.08026515411360756,71.368,114763019.0,586403.0,Republican,Midwest,195.70673922200262,7.25,low,4,mixed,6924275.0,84.68799982669665,Low
Iowa,IA,19,0.113,75501,0.8317260468031965,0.04151426752158268,0.003698301520783048,0.025885951143425488,0.0018864792959282896,0.07046085007872928,65.995,45159537.0,267158.0,Republican,Midwest,169.03681342127132,7.25,low,7,rural,3241488.0,82.41832146224202,Low
Kansas,KS,20,0.109,75514,0.7504987197898342,0.05342680920997264,0.008122585088699074,0.030271264516398336,0.0014091400879147219,0.11679401441995337,68.577,32971957.0,186036.0,Divided,Mountain Plains,177.2342826119676,7.25,low,8,rural,2970606.0,62.6256056844967,Low
Kentucky,KY,21,0.156,64526,0.8142731234520654,0.07112130402678772,0.002710765386938984,0.018778119995501674,0.0003643993991768758,0.07512904359106018,62.885,106498834.0,595155.0,Divided,Southeast,178.9430215658106,7.25,low,6,rural,4588372.0,129.7094045556899,High
Louisiana,LA,22,0.187,60986,0.5642137223940458,0.30411267274791526,0.0065649645260497545,0.018233088430402764,0.00043608381509176246,0.08108592482393524,65.091,150268544.0,803988.0,Republican,Southwest,186.90396374075235,7.25,low,3,urban,4597740.0,174.86591238304035,High
Maine,ME,23,0.106,76442,0.896816539645213,0.020814768841831956,0.0043793220271428285,0.013376398208698573,0.00021280957030971978,0.05707922779307223,80.445,28869975.0,163520.0,Democratic,Northeast,176.55317392367905,14.65,high,6,rural,1405012.0,116.38334761553638,Moderate
